Player,Pos,Season,Age,Tm,G,GS,MP_x,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Wins
Bruce Brown,SG,2023,26,DEN,80.0,31.0,28.5,4.5,9.3,0.483,1.1,3.2,0.358,3.3,6.1,0.548,0.545,1.5,1.9,0.758,0.8,3.3,4.1,3.4,1.1,0.6,1.5,2.4,11.5,13.3,0.571,0.343,0.206,3.3,13.0,8.3,15.7,1.9,2.0,13.2,17.8,1.7,2.6,4.3,0.09,-1.1,0.6,-0.5,0.8,53
Bruno Fernando,C,2023,24,HOU,31.0,4.0,11.7,1.5,3.0,0.516,0.0,0.0,0.0,1.5,3.0,0.522,0.516,1.0,1.4,0.682,1.5,2.4,3.9,1.0,0.2,1.0,0.6,2.2,4.1,16.1,0.561,0.011,0.473,14.3,22.6,18.4,11.6,0.8,8.3,15.1,15.1,0.5,0.4,0.8,0.111,-2.8,1.1,-1.7,0.0,22
Bryce McGowens,SG,2023,20,CHO,46.0,7.0,17.1,1.7,4.4,0.396,0.6,1.7,0.325,1.2,2.7,0.443,0.46,1.3,1.7,0.75,0.4,1.6,2.0,1.2,0.3,0.1,0.9,1.0,5.3,7.2,0.519,0.396,0.396,2.7,10.1,6.3,9.1,0.9,0.7,15.3,15.0,-0.4,0.4,0.1,0.005,-4.6,-1.4,-6.0,-0.8,27
Bryn Forbes,SG,2023,29,MIN,25.0,0.0,10.7,1.2,3.3,0.361,0.6,1.8,0.304,0.6,1.5,0.432,0.446,0.6,0.6,1.0,0.2,0.4,0.6,0.7,0.3,0.1,0.5,0.9,3.6,6.2,0.497,0.554,0.181,1.7,4.5,3.1,8.2,1.2,0.7,11.8,16.2,-0.2,0.2,0.0,0.0,-4.8,-1.5,-6.3,-0.3,42
Buddy Boeheim,PG,2023,23,DET,10.0,0.0,9.0,0.5,2.7,0.185,0.4,2.5,0.16,0.1,0.2,0.5,0.259,0.2,0.2,1.0,0.2,0.4,0.6,0.4,0.2,0.0,0.0,0.6,1.6,0.5,0.287,0.926,0.074,2.4,5.1,3.7,5.8,1.1,0.0,0.0,13.2,-0.2,0.0,-0.2,-0.091,-8.1,-1.7,-9.9,-0.2,17
Buddy Hield,SF,2023,30,IND,80.0,73.0,31.0,5.9,13.0,0.458,3.6,8.5,0.425,2.3,4.5,0.518,0.596,1.3,1.6,0.822,0.8,4.2,5.0,2.8,1.2,0.3,1.7,2.0,16.8,15.4,0.614,0.652,0.124,3.0,14.9,8.9,13.3,1.8,0.9,11.3,20.8,2.7,1.6,4.4,0.085,2.5,-0.6,1.9,2.4,35
CJ McCollum,SG,2023,31,NOP,75.0,75.0,35.3,7.8,17.9,0.437,2.8,7.2,0.389,5.0,10.7,0.469,0.515,2.4,3.2,0.769,0.7,3.6,4.4,5.7,0.9,0.5,2.4,2.0,20.9,15.6,0.541,0.404,0.177,2.4,11.7,7.0,25.1,1.3,1.4,11.2,26.4,1.5,2.8,4.3,0.078,1.5,-0.7,0.8,1.9,42
Cade Cunningham,PG,2023,21,DET,12.0,12.0,33.3,7.8,18.7,0.415,1.4,5.1,0.279,6.3,13.6,0.466,0.453,3.0,3.6,0.837,1.0,5.2,6.2,6.0,0.8,0.6,3.3,2.8,19.9,14.0,0.492,0.272,0.192,3.2,17.7,10.3,30.7,1.2,1.5,13.8,30.0,-0.4,0.2,-0.1,-0.018,-0.1,-0.6,-0.7,0.1,17
Caleb Houstan,SF,2023,20,ORL,51.0,4.0,15.9,1.3,3.6,0.363,0.9,2.7,0.338,0.4,0.9,0.435,0.489,0.3,0.4,0.833,0.7,1.3,1.9,0.6,0.2,0.1,0.4,1.2,3.8,6.2,0.508,0.747,0.099,4.7,9.1,6.9,4.9,0.7,0.8,8.7,11.0,0.1,0.5,0.7,0.039,-3.1,-0.9,-4.0,-0.4,34
Caleb Martin,PF,2023,27,MIA,71.0,49.0,29.3,3.6,7.7,0.464,1.2,3.3,0.356,2.4,4.4,0.545,0.54,1.3,1.6,0.805,1.2,3.6,4.8,1.6,1.0,0.4,1.1,2.0,9.6,11.4,0.571,0.431,0.206,4.8,15.0,9.7,8.2,1.7,1.5,11.5,14.4,1.2,2.5,3.7,0.086,-1.8,0.5,-1.2,0.4,44
Cam Reddish,SF,2023,23,NYK,20.0,8.0,21.9,3.1,6.8,0.449,0.9,2.8,0.304,2.2,4.0,0.55,0.511,1.5,1.7,0.879,0.4,1.2,1.6,1.0,0.8,0.4,0.8,1.6,8.4,10.6,0.558,0.412,0.243,1.7,6.0,3.9,6.3,1.7,1.7,9.1,16.2,0.3,0.4,0.7,0.071,-2.2,0.0,-2.3,0.0,47
Cam Thomas,SG,2023,21,BRK,57.0,4.0,16.6,3.5,8.0,0.441,0.9,2.3,0.383,2.6,5.7,0.464,0.497,2.6,3.1,0.868,0.1,1.5,1.7,1.4,0.4,0.1,1.1,1.0,10.6,14.7,0.567,0.292,0.382,1.0,10.1,5.6,12.7,1.0,0.6,10.6,27.8,0.3,0.7,1.0,0.049,-0.7,-2.0,-2.7,-0.2,45
Cameron Johnson,PF,2023,26,BRK,25.0,25.0,30.8,5.6,12.0,0.468,2.3,6.2,0.372,3.3,5.8,0.572,0.565,3.0,3.5,0.851,0.8,4.0,4.8,2.1,1.4,0.3,1.1,2.2,16.6,16.9,0.61,0.518,0.289,3.0,14.3,8.8,10.0,2.2,0.9,7.4,21.1,1.2,0.9,2.1,0.131,1.4,0.6,2.0,0.8,45
Cameron Payne,PG,2023,28,PHO,48.0,15.0,20.2,3.9,9.4,0.415,1.4,3.9,0.368,2.5,5.6,0.448,0.49,1.0,1.3,0.766,0.3,2.0,2.2,4.5,0.7,0.2,1.7,1.8,10.3,13.2,0.512,0.408,0.141,1.3,11.0,6.1,32.6,1.7,0.7,14.4,24.8,0.0,1.0,1.1,0.053,-0.5,-0.7,-1.2,0.2,45
Caris LeVert,SG,2023,28,CLE,74.0,30.0,30.2,4.3,10.0,0.431,1.7,4.4,0.392,2.6,5.6,0.462,0.517,1.8,2.4,0.722,0.7,3.1,3.8,3.9,1.0,0.3,1.6,2.3,12.1,12.4,0.546,0.437,0.243,2.8,12.1,7.4,18.0,1.6,1.0,12.4,18.7,1.4,3.1,4.4,0.095,-1.0,0.8,-0.2,1.0,51
Carlik Jones,PG,2023,25,CHI,7.0,0.0,8.0,0.9,2.1,0.4,0.4,0.9,0.5,0.4,1.3,0.333,0.5,0.7,1.1,0.625,0.1,0.6,0.7,0.9,0.3,0.0,0.3,0.3,2.9,11.1,0.54,0.4,0.533,2.1,8.0,5.1,13.9,1.7,0.0,9.7,16.2,0.0,0.1,0.1,0.078,-2.8,0.4,-2.5,0.0,40
Cedi Osman,SF,2023,27,CLE,77.0,2.0,20.1,3.1,6.9,0.451,1.5,4.1,0.372,1.6,2.8,0.564,0.56,1.0,1.4,0.694,0.3,2.0,2.3,1.5,0.5,0.1,0.7,1.6,8.7,12.0,0.579,0.589,0.204,1.9,11.5,6.7,10.6,1.1,0.7,8.3,18.2,1.4,1.9,3.3,0.103,-0.8,0.2,-0.7,0.5,51
Chance Comanche,C,2023,26,POR,1.0,0.0,21.0,3.0,5.0,0.6,0.0,0.0,0.0,3.0,5.0,0.6,0.6,1.0,4.0,0.25,2.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,7.0,12.2,0.518,0.0,0.8,10.9,5.5,8.2,0.0,0.0,4.2,0.0,14.0,0.0,0.0,0.0,0.043,-2.6,-4.9,-7.6,0.0,33
Charles Bassey,C,2023,22,SAS,35.0,2.0,14.5,2.5,3.9,0.644,0.1,0.2,0.375,2.4,3.6,0.661,0.656,0.6,1.1,0.595,2.1,3.4,5.5,1.3,0.5,0.9,1.2,2.1,5.7,18.8,0.658,0.059,0.274,15.5,26.4,20.7,12.9,1.5,5.4,21.3,15.6,0.7,0.6,1.3,0.122,-0.7,1.3,0.6,0.3,22
Chima Moneke,SF,2023,27,SAC,2.0,0.0,4.0,0.5,1.0,0.5,0.0,0.0,0.0,0.5,1.0,0.5,0.5,0.0,1.0,0.0,1.0,0.0,1.0,0.5,0.0,0.0,1.0,1.0,1.0,-3.5,0.347,0.0,1.0,28.8,0.0,14.3,16.1,0.0,0.0,41.0,26.2,0.0,0.0,0.0,-0.288,-12.7,-8.0,-20.7,0.0,48
Chimezie Metu,C,2023,25,SAC,66.0,0.0,10.4,2.0,3.3,0.589,0.1,0.6,0.237,1.8,2.7,0.663,0.61,0.8,1.1,0.74,0.7,2.3,3.0,0.6,0.3,0.3,0.5,1.2,4.9,17.3,0.639,0.174,0.333,7.8,24.9,16.4,8.1,1.5,2.7,11.3,17.6,1.2,0.8,2.1,0.143,-0.3,0.2,-0.1,0.3,48
Chris Boucher,PF,2023,30,TOR,76.0,0.0,20.0,3.4,7.0,0.493,0.8,2.5,0.328,2.6,4.5,0.585,0.552,1.7,2.2,0.762,2.1,3.5,5.5,0.4,0.6,0.8,0.5,1.9,9.4,18.0,0.59,0.357,0.318,10.9,21.2,15.7,2.7,1.5,4.1,6.4,18.0,3.0,2.0,5.0,0.156,0.7,-0.8,-0.1,0.7,41
Chris Duarte,SF,2023,25,IND,46.0,12.0,19.5,2.7,7.2,0.369,1.2,3.8,0.316,1.5,3.5,0.428,0.452,1.3,1.6,0.847,0.4,2.1,2.5,1.4,0.5,0.2,0.9,1.4,7.9,8.6,0.496,0.523,0.216,2.4,11.9,7.1,9.7,1.3,0.9,10.1,19.0,-0.5,0.4,0.0,-0.003,-2.9,-1.6,-4.5,-0.6,35
Chris Paul,PG,2023,37,PHO,59.0,59.0,32.0,5.0,11.3,0.44,1.7,4.4,0.375,3.3,6.9,0.482,0.513,2.3,2.7,0.831,0.5,3.8,4.3,8.9,1.5,0.4,1.9,2.1,13.9,17.7,0.555,0.391,0.24,1.6,13.4,7.4,38.7,2.4,1.0,13.4,19.2,3.7,2.5,6.2,0.156,2.0,1.2,3.2,2.5,45
Chris Silva,PF,2023,26,DAL,1.0,0.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,-2.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,30.1,0.0,0.0,0.0,-0.26,-22.5,-0.1,-22.6,0.0,38
Christian Braun,SG,2023,21,DEN,76.0,6.0,15.5,1.9,3.8,0.495,0.4,1.3,0.354,1.4,2.5,0.565,0.554,0.5,0.8,0.625,0.6,1.8,2.4,0.8,0.5,0.2,0.5,1.3,4.7,10.3,0.568,0.332,0.221,4.8,12.6,8.8,6.4,1.7,1.3,9.9,13.0,0.7,1.2,1.9,0.079,-2.5,0.1,-2.4,-0.1,53
Christian Koloko,C,2023,22,TOR,58.0,19.0,13.8,1.2,2.6,0.48,0.0,0.2,0.083,1.2,2.4,0.514,0.483,0.6,1.0,0.627,1.4,1.5,2.9,0.5,0.4,1.0,0.3,2.2,3.1,11.4,0.517,0.08,0.393,11.1,13.3,12.1,5.0,1.3,6.9,10.2,10.4,0.7,1.0,1.7,0.104,-4.3,0.8,-3.5,-0.3,41
Christian Wood,C,2023,27,DAL,67.0,17.0,25.9,5.9,11.5,0.515,1.6,4.2,0.376,4.3,7.3,0.594,0.583,3.2,4.2,0.772,1.3,6.0,7.3,1.8,0.4,1.1,1.8,2.5,16.6,20.6,0.624,0.363,0.365,5.8,27.4,16.4,11.7,0.9,3.7,11.9,26.4,2.7,2.1,4.8,0.132,1.9,-0.3,1.7,1.6,38
Chuma Okeke,SF,2023,24,ORL,27.0,8.0,19.2,1.6,4.5,0.352,1.0,3.2,0.302,0.6,1.3,0.472,0.459,0.6,0.8,0.762,1.0,2.6,3.6,1.4,0.7,0.4,0.6,1.5,4.7,9.1,0.488,0.705,0.172,5.7,15.3,10.5,9.4,1.8,2.1,11.5,12.3,0.0,0.6,0.7,0.061,-2.4,0.8,-1.6,0.1,34
Clint Capela,C,2023,28,ATL,65.0,63.0,26.6,5.4,8.2,0.653,0.0,0.0,0.0,5.4,8.2,0.654,0.653,1.2,2.0,0.603,4.0,7.1,11.0,0.9,0.7,1.2,0.8,2.1,12.0,22.1,0.656,0.002,0.244,16.1,29.4,22.7,4.7,1.2,3.9,8.3,15.7,4.9,2.4,7.2,0.201,2.3,-0.1,2.2,1.8,41
Coby White,SG,2023,22,CHI,74.0,2.0,23.4,3.6,8.0,0.443,1.7,4.6,0.372,1.8,3.4,0.54,0.551,0.8,0.9,0.871,0.2,2.6,2.9,2.8,0.7,0.1,1.0,1.6,9.7,12.5,0.572,0.579,0.118,1.1,12.6,6.9,16.3,1.5,0.3,10.6,17.9,1.2,1.9,3.1,0.087,-1.0,0.2,-0.8,0.5,40
Cody Martin,SF,2023,27,CHO,7.0,0.0,19.1,2.0,5.1,0.389,0.4,2.0,0.214,1.6,3.1,0.5,0.431,0.6,1.0,0.571,1.1,2.3,3.4,1.6,0.6,0.1,0.3,1.9,5.0,8.7,0.448,0.389,0.194,6.2,13.0,9.5,11.0,1.4,0.6,4.9,12.9,0.0,0.1,0.1,0.045,-3.8,-0.8,-4.6,-0.1,27
Cody Zeller,C,2023,30,MIA,15.0,2.0,14.5,2.5,3.9,0.627,0.0,0.1,0.0,2.5,3.8,0.649,0.627,1.6,2.3,0.686,1.7,2.6,4.3,0.7,0.2,0.3,0.9,2.2,6.5,16.4,0.659,0.034,0.593,13.0,21.8,17.3,7.2,0.7,1.9,15.8,18.1,0.4,0.3,0.7,0.147,-2.0,-0.7,-2.8,0.0,44
Cole Anthony,PG,2023,22,ORL,60.0,4.0,25.9,4.6,10.2,0.454,1.3,3.4,0.364,3.4,6.7,0.5,0.516,2.5,2.8,0.894,0.8,4.0,4.8,3.9,0.6,0.5,1.5,2.6,13.0,16.0,0.57,0.338,0.279,3.4,17.6,10.5,22.9,1.2,1.9,11.7,21.5,2.1,1.7,3.7,0.116,0.8,0.5,1.3,1.3,34
Cole Swider,SF,2023,23,LAL,7.0,0.0,5.9,0.4,1.3,0.333,0.4,1.1,0.375,0.0,0.1,0.0,0.5,0.0,0.0,0.0,0.1,0.9,1.0,0.6,0.0,0.0,0.0,0.4,1.3,7.4,0.5,0.889,0.0,2.7,15.2,9.1,12.0,0.0,0.0,0.0,9.3,0.0,0.0,0.1,0.08,-2.9,-0.6,-3.5,0.0,43
Collin Sexton,SG,2023,24,UTA,48.0,15.0,23.9,4.9,9.8,0.506,1.0,2.5,0.393,3.9,7.2,0.546,0.558,3.4,4.1,0.819,0.8,1.4,2.2,2.9,0.6,0.1,1.8,2.3,14.3,15.9,0.616,0.261,0.425,3.5,6.3,5.0,17.9,1.1,0.4,13.3,23.4,2.0,0.5,2.5,0.105,0.2,-1.5,-1.3,0.2,37
Corey Kispert,SF,2023,23,WAS,74.0,45.0,28.3,3.9,7.9,0.497,2.2,5.2,0.424,1.7,2.7,0.637,0.637,1.0,1.2,0.852,0.4,2.4,2.8,1.2,0.4,0.1,0.7,1.3,11.1,11.5,0.657,0.656,0.15,1.8,8.9,5.5,5.7,0.7,0.4,8.1,14.1,2.9,0.9,3.8,0.088,-0.1,-1.4,-1.5,0.3,35
Cory Joseph,PG,2023,31,DET,62.0,2.0,19.8,2.4,5.7,0.427,1.1,2.9,0.389,1.3,2.8,0.468,0.527,0.9,1.2,0.792,0.3,1.4,1.7,3.5,0.5,0.1,0.9,1.4,6.9,12.1,0.558,0.513,0.205,1.8,7.9,4.8,25.4,1.3,0.6,12.8,15.2,1.5,0.3,1.8,0.07,-0.7,-0.8,-1.5,0.2,17
D'Angelo Russell,PG,2023,26,MIN,54.0,54.0,32.9,6.3,13.5,0.465,2.7,7.0,0.391,3.5,6.4,0.546,0.567,2.6,3.1,0.856,0.5,2.5,3.1,6.2,1.1,0.4,2.7,2.2,17.9,16.1,0.604,0.521,0.23,1.8,8.5,5.2,27.0,1.6,1.0,15.5,22.8,2.3,1.5,3.8,0.103,1.9,-0.7,1.2,1.4,42
Daishen Nix,PG,2023,20,HOU,57.0,7.0,16.0,1.4,4.2,0.342,0.7,2.5,0.286,0.7,1.7,0.423,0.426,0.4,0.6,0.667,0.3,1.4,1.7,2.3,0.5,0.1,1.5,1.0,4.0,5.3,0.447,0.591,0.152,2.1,9.7,5.9,19.2,1.6,0.7,25.4,15.4,-1.5,0.3,-1.2,-0.062,-5.0,-1.5,-6.5,-1.0,22
Dalano Banton,PG,2023,23,TOR,31.0,2.0,9.0,1.8,4.2,0.423,0.5,1.6,0.294,1.3,2.5,0.506,0.481,0.5,0.8,0.708,0.4,1.1,1.5,1.2,0.4,0.4,0.6,1.1,4.6,14.9,0.505,0.392,0.185,4.2,14.9,9.1,19.3,2.3,4.5,11.4,24.2,0.0,0.4,0.4,0.064,-1.1,0.6,-0.5,0.1,41
Dalen Terry,SG,2023,20,CHI,38.0,0.0,5.6,0.8,1.9,0.444,0.2,0.7,0.259,0.7,1.2,0.556,0.493,0.4,0.6,0.667,0.3,0.7,1.0,0.6,0.3,0.1,0.2,0.6,2.2,14.1,0.523,0.375,0.292,6.5,13.0,9.8,14.1,2.5,2.3,9.0,18.4,0.1,0.3,0.5,0.105,-1.7,1.7,0.0,0.1,40
Damian Jones,C,2023,27,LAL,22.0,1.0,8.0,0.9,1.7,0.541,0.0,0.1,0.0,0.9,1.5,0.588,0.541,0.7,0.9,0.75,0.8,1.7,2.5,0.2,0.1,0.5,0.4,0.8,2.5,13.8,0.6,0.081,0.541,11.3,21.8,16.7,2.9,0.8,5.8,16.4,13.2,0.2,0.3,0.4,0.117,-2.6,0.7,-2.0,0.0,43
Damian Lillard,PG,2023,32,POR,58.0,58.0,36.3,9.6,20.7,0.463,4.2,11.3,0.371,5.4,9.4,0.574,0.564,8.8,9.6,0.914,0.8,4.0,4.8,7.3,0.9,0.3,3.3,1.9,32.2,26.7,0.645,0.547,0.464,2.4,12.8,7.6,35.0,1.2,0.8,11.7,33.8,8.2,0.8,9.0,0.205,8.3,-1.2,7.1,4.9,33
Damion Lee,SG,2023,30,PHO,74.0,5.0,20.4,2.7,6.1,0.442,1.5,3.3,0.445,1.2,2.8,0.439,0.564,1.3,1.4,0.904,0.5,2.5,3.0,1.3,0.4,0.1,1.1,1.6,8.2,10.7,0.607,0.546,0.23,2.8,14.0,8.3,8.9,1.0,0.4,13.5,16.3,1.1,1.4,2.6,0.081,-1.3,-0.4,-1.7,0.1,45
Daniel Gafford,C,2023,24,WAS,78.0,47.0,20.6,3.7,5.1,0.732,0.0,0.0,0.0,3.7,5.1,0.732,0.732,1.6,2.4,0.679,2.1,3.5,5.6,1.1,0.4,1.3,1.1,2.4,9.0,19.7,0.739,0.0,0.473,11.7,18.0,15.0,7.5,1.0,5.2,15.1,15.2,4.2,1.9,6.1,0.184,0.4,0.6,1.0,1.2,35
Daniel Theis,C,2023,30,IND,7.0,1.0,15.6,3.0,6.3,0.477,0.3,1.6,0.182,2.7,4.7,0.576,0.5,0.7,1.7,0.417,1.0,2.1,3.1,1.3,0.3,0.9,0.4,1.0,7.0,14.2,0.497,0.25,0.273,7.1,15.2,11.2,12.2,0.9,4.7,5.7,20.1,0.0,0.1,0.1,0.046,-0.9,-0.5,-1.4,0.0,35
Danny Green,SG,2023,35,CLE,8.0,0.0,11.9,2.4,4.8,0.5,1.6,3.6,0.448,0.8,1.1,0.667,0.671,0.1,0.1,1.0,0.3,1.0,1.3,0.5,0.6,0.4,0.9,1.3,6.5,15.8,0.676,0.763,0.026,2.5,9.9,6.2,6.4,2.6,2.9,15.4,21.4,0.1,0.2,0.2,0.114,0.5,0.7,1.2,0.1,51
Danuel House Jr.,SF,2023,29,PHI,56.0,5.0,14.4,1.7,3.5,0.472,0.7,2.0,0.336,1.0,1.6,0.644,0.566,0.8,1.1,0.75,0.2,1.5,1.7,0.8,0.3,0.2,0.5,1.2,4.8,9.4,0.6,0.558,0.305,1.3,12.2,6.9,7.5,0.9,1.0,10.4,13.8,0.6,0.7,1.3,0.075,-2.4,-0.5,-3.0,-0.2,54
Dario Šarić,PF,2023,28,PHO,37.0,12.0,14.4,2.1,4.8,0.427,0.7,1.9,0.391,1.3,2.9,0.45,0.503,1.0,1.2,0.818,1.1,2.8,3.8,1.5,0.4,0.1,1.0,1.9,5.8,12.3,0.545,0.388,0.247,7.9,21.9,14.8,14.6,1.2,0.8,15.4,18.7,0.3,0.7,0.9,0.085,-2.3,0.3,-2.0,0.0,45
Darius Bazley,PF,2023,22,OKC,36.0,1.0,15.4,2.0,4.4,0.449,0.5,1.3,0.4,1.5,3.1,0.469,0.506,1.0,1.8,0.554,0.8,2.6,3.4,0.9,0.5,0.8,0.6,1.0,5.4,12.9,0.525,0.285,0.411,5.5,18.3,11.8,7.6,1.6,4.8,10.5,15.7,0.1,0.8,0.9,0.079,-1.8,0.8,-1.0,0.1,40
Darius Days,PF,2023,23,HOU,4.0,0.0,6.3,1.3,3.0,0.417,0.8,2.5,0.3,0.5,0.5,1.0,0.542,0.5,0.5,1.0,0.3,1.3,1.5,0.3,0.0,0.3,0.0,0.5,3.8,18.3,0.582,0.833,0.167,4.3,22.2,13.2,6.2,0.0,3.9,0.0,21.4,0.1,0.0,0.1,0.156,4.7,-1.3,3.4,0.0,22
Darius Garland,PG,2023,23,CLE,69.0,69.0,35.5,7.6,16.4,0.462,2.4,6.0,0.41,5.1,10.4,0.492,0.537,4.0,4.7,0.863,0.4,2.3,2.7,7.8,1.2,0.1,2.9,2.1,21.6,18.8,0.587,0.365,0.284,1.3,7.6,4.5,34.1,1.7,0.3,13.5,26.9,4.5,3.0,7.6,0.148,3.2,-0.7,2.4,2.7,51
David Duke Jr.,SG,2023,23,BRK,23.0,0.0,9.9,1.6,3.4,0.462,0.0,0.5,0.083,1.5,2.9,0.53,0.468,0.5,0.7,0.706,0.5,0.8,1.3,0.9,0.4,0.0,0.8,1.3,3.7,8.3,0.497,0.154,0.218,5.5,8.7,7.1,13.1,2.1,0.4,17.4,20.1,-0.3,0.2,-0.1,-0.011,-6.3,-1.0,-7.3,-0.3,45
David Roddy,PF,2023,21,MEM,70.0,4.0,18.0,2.6,6.0,0.429,0.9,3.0,0.307,1.6,3.0,0.553,0.506,0.6,0.9,0.631,0.7,2.0,2.8,0.8,0.4,0.3,0.8,1.5,6.7,8.8,0.519,0.505,0.155,4.2,12.0,8.1,6.1,1.1,1.4,11.3,16.7,-0.3,1.4,1.1,0.043,-3.2,-0.7,-3.9,-0.6,51
Davion Mitchell,PG,2023,24,SAC,80.0,9.0,18.1,2.3,5.0,0.454,0.8,2.5,0.32,1.5,2.5,0.584,0.533,0.3,0.4,0.806,0.2,1.1,1.3,2.3,0.6,0.2,0.8,1.4,5.6,9.4,0.545,0.494,0.078,1.3,7.0,4.1,16.5,1.5,0.9,13.1,14.1,0.7,0.8,1.5,0.05,-2.4,-0.4,-2.8,-0.3,48
Davon Reed,SG,2023,27,DEN,35.0,1.0,9.0,0.7,2.3,0.313,0.5,1.3,0.364,0.3,1.0,0.25,0.413,0.4,0.6,0.75,0.3,1.3,1.6,0.5,0.4,0.1,0.6,1.0,2.3,5.2,0.456,0.55,0.25,3.4,16.3,10.0,7.3,2.0,1.1,18.4,15.0,-0.4,0.4,-0.1,-0.009,-5.8,-0.3,-6.1,-0.3,53
Day'Ron Sharpe,C,2023,21,BRK,48.0,3.0,11.5,1.9,3.6,0.544,0.1,0.2,0.545,1.8,3.3,0.544,0.561,0.7,1.1,0.636,2.1,2.1,4.2,0.8,0.3,0.7,0.9,1.9,4.7,17.8,0.581,0.064,0.322,20.6,20.1,20.4,9.7,1.3,5.0,17.7,19.0,0.8,0.8,1.6,0.139,-1.8,-0.6,-2.3,0.0,45
De'Aaron Fox,PG,2023,25,SAC,73.0,73.0,33.4,9.3,18.2,0.512,1.6,5.0,0.324,7.7,13.2,0.584,0.557,4.7,6.0,0.78,0.5,3.6,4.2,6.1,1.1,0.3,2.5,2.4,25.0,21.8,0.599,0.276,0.331,1.9,12.4,7.2,29.6,1.6,0.8,10.6,30.1,5.5,1.8,7.4,0.146,3.4,-0.9,2.5,2.7,48
De'Andre Hunter,SF,2023,25,ATL,67.0,67.0,31.7,5.7,12.3,0.461,1.5,4.3,0.35,4.2,8.0,0.521,0.522,2.6,3.1,0.826,0.7,3.6,4.2,1.4,0.5,0.3,1.2,3.0,15.4,11.5,0.563,0.348,0.252,2.3,12.4,7.3,6.0,0.8,0.7,8.2,19.7,1.4,1.2,2.5,0.057,-1.9,-1.4,-3.3,-0.7,41
De'Anthony Melton,PG,2023,24,PHI,77.0,58.0,27.9,3.6,8.5,0.425,2.0,5.2,0.39,1.6,3.2,0.484,0.546,0.9,1.1,0.793,0.9,3.2,4.1,2.6,1.6,0.5,1.3,2.5,10.1,12.7,0.566,0.619,0.134,3.9,13.1,8.6,12.9,2.9,1.8,12.9,16.4,1.1,3.1,4.2,0.095,-0.7,1.6,0.9,1.6,54
DeAndre Jordan,C,2023,34,DEN,39.0,8.0,15.0,2.3,2.9,0.765,0.0,0.0,1.0,2.2,2.9,0.763,0.77,0.6,1.2,0.458,1.3,3.8,5.2,0.9,0.3,0.6,1.2,1.8,5.1,14.7,0.731,0.009,0.417,10.5,28.6,19.8,7.7,1.0,3.5,26.1,13.7,0.5,0.9,1.4,0.112,-2.4,0.7,-1.8,0.0,53
DeMar DeRozan,SF,2023,33,CHI,74.0,74.0,36.2,8.9,17.6,0.504,0.6,1.9,0.324,8.3,15.7,0.526,0.522,6.2,7.1,0.872,0.5,4.2,4.6,5.1,1.1,0.5,2.1,2.5,24.5,20.6,0.592,0.109,0.401,1.5,12.8,7.2,22.3,1.5,1.3,9.1,27.8,5.4,3.2,8.5,0.153,1.7,0.3,2.0,2.6,40
Dean Wade,PF,2023,26,CLE,44.0,13.0,20.3,1.7,4.0,0.412,1.0,2.9,0.354,0.6,1.1,0.56,0.54,0.3,0.5,0.652,0.5,3.0,3.4,0.8,0.6,0.5,0.4,2.0,4.7,8.5,0.55,0.718,0.13,2.6,17.2,9.9,5.4,1.6,2.2,8.3,10.2,0.4,1.4,1.8,0.097,-2.9,2.1,-0.7,0.3,51
Deandre Ayton,C,2023,24,PHO,67.0,67.0,30.4,7.8,13.2,0.589,0.1,0.4,0.292,7.7,12.9,0.597,0.592,2.3,3.0,0.76,2.6,7.4,10.0,1.7,0.6,0.8,1.8,2.8,18.0,19.9,0.617,0.027,0.225,9.2,27.5,18.1,9.2,0.9,2.3,11.0,22.9,3.3,3.0,6.2,0.147,0.9,0.0,0.9,1.5,45
Dejounte Murray,SG,2023,26,ATL,74.0,74.0,36.4,8.3,17.8,0.464,1.8,5.2,0.344,6.5,12.6,0.514,0.514,2.1,2.6,0.832,0.7,4.5,5.3,6.1,1.5,0.3,2.2,1.4,20.5,17.0,0.54,0.293,0.144,2.1,13.8,7.9,24.0,2.0,0.6,10.2,24.4,2.4,2.3,4.7,0.084,1.1,0.0,1.0,2.1,41
Delon Wright,PG,2023,30,WAS,50.0,14.0,24.4,2.8,5.8,0.474,0.8,2.4,0.345,1.9,3.4,0.564,0.545,1.0,1.2,0.867,1.2,2.4,3.6,3.9,1.8,0.3,0.9,1.2,7.4,16.3,0.581,0.409,0.206,5.5,10.7,8.2,20.9,3.7,1.2,12.2,12.9,2.1,1.6,3.7,0.146,0.4,3.1,3.4,1.7,35
